,TRIAL,DATE,TIME,SITE,DurGROWTH,FEED.N,TREATMENT,OBSERVER,FEED.WT,FEED.TEMP,pH,OD_1,OD_2,OD_avg
1,2,27/jun/17,07:10,Glide,1,1,cage,TH,1611,58.1,4.251,0.0397,0.0376,0.03865
2,1,13/jun/17,06:15,Glide,1,2,cage,CGL,1625,53.4,4.254,0.039,0.039,0.039
3,3,11/jul/17,07:20,Glide,1,3,cage,NA,1603,61,5.53,0.0336,0.0341,0.03385
4,1,13/jun/17,06:15,Glide,1,4,cage,CGL,1633,52.7,4.252,0.043,0.043,0.043
5,3,11/jul/17,07:20,Glide,1,5,cage,NA,1625,60.8,4.53,0.0355,0.0364,0.03595
6,2,27/jun/17,07:10,Glide,1,6,cage,TH,1617,57.4,4.256,0.0378,0.0375,0.03765
7,1,13/jun/17,06:15,Glide,1,7,cage,CGL,1535,52.9,4.252,0.039,0.039,0.039
8,2,27/jun/17,07:10,Glide,1,8,cage,TH,1523,57.5,4.253,0.0397,0.0376,0.03865
39,3,11/jul/17,07:20,Glide,1,9,cage,NA,1534,60.8,4.57,0.0369,0.0348,0.03585
104,2,27/jun/17,07:10,Glide,1,10,cage,TH,1523,57.5,4.253,0.0397,0.0376,0.03865
9,2,03/jul/17,06:00,Glide,7,1,cage,TH,1537,60.3,3.752,0.0417,0.0402,0.04095
10,1,19/jun/17,06:40,Glide,7,2,cage,CGL,1546,71.1,4.012,0.041,0.041,0.041
11,1,19/jun/17,06:40,Glide,7,3,cage,CGL,1305,70.7,3.521,0.046,0.044,0.045
12,2,03/jul/17,06:00,Glide,7,4,cage,TH,1472,60.4,3.752,0.038,0.0379,0.03795
13,3,17/jul/17,06:15,Glide,7,5,cage,NA,1553,64.4,4.123,0.0458,0.0466,0.0462
14,3,17/jul/17,06:15,Glide,7,6,cage,NA,1510,64,4.251,0.0412,0.0429,0.04205
15,3,17/jul/17,06:15,Glide,7,7,cage,NA,1422,64.8,3.59,0.0434,0.0428,0.0431
16,2,03/jul/17,06:00,Glide,7,8,cage,TH,1369,59.9,3.23,0.0416,0.0423,0.04195
56,3,17/jul/17,06:15,Glide,7,9,cage,NA,1422,64.8,3.523,0.0434,0.0428,0.0431
110,2,03/jul/17,06:00,Glide,7,10,cage,TH,1369,59.9,3.011,0.0416,0.0423,0.04195